reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description,hash_watch_url
215.021,https://www.my-watchsite.com/saxonia/349-saxonia.html,,A. Lange & Söhne,2007.0,Saxonia,Saxonia,,,,USD,,https://cdn.thewatchpages.com/app/uploads/2020/12/13205554/a-lange-soehne-saxonia-outsize-date-381026-800x1408.jpg,,Round,Gold,,Transparent,37 mm,,,7.3 mm,,,Sapphire,,,Champagne,No numerals,"Crocodile, Leather",Brown,"Pin Buckle, Buckle",Manual winding,Lange L941.1,46 hours,,21.0,"Small Seconds, Seconds",Movement Precision-adjusted movement in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand 164 movement parts 21 jewels 4 Screwed gold chatonsLever escapement Shock-resistant Glucydur screw balance Nivarox balance spring Frequency : 21 600 semi-oscillations per hour Whiplash precision index adjuster with patented beat adjustment mechanism 46 hours power reserve Prong buckle in solid yellow gold,,3042444c3f86e0262b5a65226eb1c99a
219.026,https://www.my-watchsite.com/saxonia/5088-saxonia.html,,A. Lange & Söhne,2015.0,Saxonia,Saxonia,,,,USD,16500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214303/a-lange-soehne-saxonia-moon-phase-384029.jpg,,Round,White Gold,,Transparent,35 mm,,,7.3 mm,,,Sapphire,,,,No numerals,"Alligator, Leather",Black,"Pin Buckle, Buckle",Manual winding,Lange manufacture calibre L941.1,45 hours,,21.0,"Small Seconds, Seconds",Movement Lange manufacture calibre L941.1; manually wound. crafted to the most exacting Lange quality standards. decorated and assembled by hand; precision-adjusted in five positions; plates and bridges made of untreated German silver; balance cock engraved by hand Diameter: 25.6 millimetres Height: 3.2 millimetres Movement parts: 164 Jewels: 21 Screwed gold chatons: 4 Lever escapement Shock-resistant screw balance; Nivarox® balance spring* with a frequency of 21.600 semi-oscillations per hour. whiplash precision index adjuster with beat-adjustment mechanism Power reserve: 45 hours when fully wound subsidiary seconds with stop seconds Hand-stitched black alligator strap Lange prong buckle in white gold,,e6e816aa45edfa9979487aa82f869d5a
140.029,https://www.my-watchsite.com/lange-zeitwerk/245-lange-zeitwerk.html,,A. Lange & Söhne,2010.0,Lange Zeitwerk,Lange Zeitwerk,,,,USD,77000.0,https://cdn.thewatchpages.com/app/uploads/2023/07/28085407/a-lange-soehne-lange-1-time-zone-136025-800x1341.jpeg,,Round,White Gold,,Transparent,41.9 mm,,,12.6 mm,,,Sapphire,,,,Arabic numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Manual winding,Lange L043.1,36 hours,,66.0,"Minutes, Hours, Stop-Second, Jumping Hours, Power Reserve Indication, Small Seconds, Seconds",Adjusted movement in five positions Three-quarter plate made of untreated German silver Balance cock engraved by hand 388 movement parts 66 jewels 2 screwed gold chatons Constant-force escapement Shock-resistant glucydur balance with eccentric poising weights superior-quality balance spring manufactured in-house with patent-pending attachment system (balance spring clamp) Frequency: 18 000 semi-oscillations per hour Precision beat adjustment system with lateral setscrew and whiplash spring 36 hours power reserve Dial Rhodiumed German silver Time bridge Prong buckle in solid gold,,94bc9449e32d6ab3f6341dde960ffa08
405.035,https://www.my-watchsite.com/datograph/2980-datograph-up-down.html,,A. Lange & Söhne,2012.0,Datograph,Datograph UP/DOWN,,,Chronograph,USD,90000.0,https://cdn.thewatchpages.com/app/uploads/2020/09/13211344/a-lange-soehne-tourbograph-perpetual-honeygold-homage-to-f-a-lange-706050fe-800x1313.jpg,,Round,Platinum,,Transparent,41 mm,,,13.10 mm,,,Sapphire,,,"Black, Silver",No numerals,"Crocodile, Leather",Gray,"Pin Buckle, Buckle",Manual winding,Lange L951.6,60 hours,,46.0,"Luminous, Chronograph, Flyback, Tachymeter, Stop-Second, Power Reserve Indication, Date, Small Seconds, Seconds",Movement Lange manufacture calibre L951.6 Crafted to the most exacting Lange quality standards Decorated and assembled by hand Precision-adjusted in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand 451 parts 46 jewels 4 screwed gold chatons Lever escapement Shock-resistant balance with eccentric poising weights Superior-quality balance spring manufactured in-house Frequency: 18.000 semi-oscillations per hour Precision beat adjustment system with lateral setscrew and whiplash spring Power reserve 60 hours when fully wound   Hand-stitched crocodile strap. blue-grey Lange prong buckle in platinum,,42255249c82458c1e61bc7da99e33178
706.025,https://www.my-watchsite.com/tourbograph/6041-tourbograph-perpetuel-pour-le-merite.html,,A. Lange & Söhne,2017.0,1815,"Tourbograph Perpétuel ""Pour Le Mérite""",,,Chronograph,USD,527500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214255/a-lange-soehne-richard-lange-jumping-seconds-252032.jpg,,Round,Platinum,,,43 mm,,,16.6 mm,,,Sapphire,,,Silver,Arabic numerals,"Alligator, Leather",Black,Folding Clasp,Manual winding,L133.1,36 hours,,52.0,"Perpetual Calendar, Minutes, Day, Tourbillon, Chronograph, Leap Year, Hours, Calendar, Date, Month, Year","Movement Lange manufacture calibre L133.1 Manually wound Fuséeand-chain transmission Crafted to the most exacting Lange quality standards Decorated and assembled by hand Precision-adjusted in five positions Plates and bridges made of untreated German silver Chronograph bridge engraved by hand Movement parts 684 (chain counted as one part); chain parts: 636 Jewels 52, including 2 diamond endstones Screwed gold chatons 6 Escapement Lever escapement Oscillation system Shock-resistant screw balance, balance spring manufactured in-house with a frequency of 21,600 semi-oscillations per hour Power reserve 36 hours when fully wound Diameter: 32.0 millimetres height: 10.9 millimetres Glass and caseback Sapphire crystal (Mohs hardness 9) Case Platinum Dial Solid silver argenté Hands for hours minutes Rattrapante and minute counter in blued steel Chronograph hand in gold-plated steel Calendar displays in rhodiumed gold Strap / Buckles Hand-stitched alligator leather strap, black Deployant buckle in platinum 50 watches",,8268fc8c0cbde38f22ad6a131b3049ea
233.026,https://www.my-watchsite.com/1815/244-1815.html,,A. Lange & Söhne,2009.0,1815,1815,,,,USD,22000.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214311/a-lange-soehne-little-lange-1-181037.jpg,,Round,White Gold,,Transparent,40 mm,,,8.9 mm,,,Sapphire,,,Silver,Arabic numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Manual winding,Lange L051.1,55 hours,,21.0,"Small Seconds, Seconds",Movement Precision-adjusted movement in five positions Three-quarter plate made of untreated German silver Balance cock engraved by hand 188 movement parts 21 jewels 5 screwed gold chatons Lever escapement Shock-resistant Glucydur screw balance Nivarox balance spring Frequency : 21 600 semi-oscillations per hour Whiplash precision index adjuster. with patented beat adjustment mechanism Power reserve 55 hours 18 carats white gold case Prong buckle in solid gold,,a06468b242a3f4ed5618f6d4fe7b0d8d
116.033,https://www.my-watchsite.com/lange-1/272-lange-1-fuseaux-horaires.html,,A. Lange & Söhne,2009.0,Lange 1,Lange 1 Fuseaux Horaires,,,,USD,41000.0,https://cdn.thewatchpages.com/app/uploads/2021/10/13195634/a-lange-soehne-zeitwerk-honey-gold-lumen-142055-800x1386.jpg,,Round,Rose Gold,,Transparent,41.9 mm,,,11 mm,,,Sapphire,,,Gray,"Arabic numerals, Roman numerals","Crocodile, Leather",Brown,"Pin Buckle, Buckle",Manual winding,Lange L031.1,72 hours,,54.0,"Day, GMT, Date, Power Reserve Indication, Small Seconds, Travel Time, Seconds",Movement Precision-adjusted movement in five positions Twin mainspring barrel Plates and bridges made of untreated German silver Balance cock and intermediate-wheel cock engraved by hand 417 movement parts 54 jewels 4 screwed gold chatons Lever escapement Shock-resistant glucydur screw balance Nivarox balance spring Frequency : 21 600 semioscillations per hour Whiplash precision index adjuster with patented beat adjustment mechanism 72 hours power reserve Pink gold. blued steel hands Prong buckle in solid gold,,e2bf1f8af1fb17ed3c7ef74eebe943ef
109.032,https://www.my-watchsite.com/lange-1/2815-lange-1-phases-de-lune.html,,A. Lange & Söhne,2002.0,Lange 1,Lange 1 Phases de Lune,,,,USD,42000.0,https://cdn.thewatchpages.com/app/uploads/2022/10/31114315/a-lange-soehne-zeitwerk-142025-800x1384.jpg,,Round,Rose Gold,,Transparent,38.50 mm,,,10.40 mm,,,Sapphire,,,Silver,Roman numerals,"Crocodile, Leather",Black,,Manual winding,Lange L901.5,,,,"Luminous, Power Reserve Indication, Date, Moon Phases, Small Seconds, Seconds",Movement 398 components Solid gold moonphase disc case and buckle in 18-carat pink gold,,ace33427ee48cd7214155dc0708d941a
410.038,https://www.my-watchsite.com/datograph/5245-datograph-perpetuel.html,,A. Lange & Söhne,2015.0,Datograph,Datograph Perpétuel,,,Chronograph,USD,133500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214226/a-lange-soehne-lange-1-191032.jpg,,Round,White Gold,,Transparent,41.0 mm,,,13.5 mm,,,Sapphire,,,Gray,No numerals,"Alligator, Leather",Black,"Pin Buckle, Buckle",Manual winding,Lange L952.1,,,4.0,"Luminous, Perpetual Calendar, Day, Chronograph, Flyback, Tachymeter, Stop-Second, Calendar, Date, Moon Phases, Small Seconds, Seconds",Movement Lange manufacture calibre L952.1 Crafted to the most exacting Lange quality standards Decorated and assembled by hand Precision-adjusted in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand 556 parts 45 bearing jewels 4 screwed gold chatons Lever escapement Shock-resistant balance wheel with eccentric poising weights Balance spring manufactured in-house with a frequency of 18.000 semi-oscillations per hour Precision beat-adjustment system with lateral setscrew and whiplash spring Functions Time indicated in hours. minutes and subsidiary seconds with stop seconds; flyback chronograph with precisely jumping minute counter; tachymeter scale; perpetual calendar with date. day of week. month. moon phases and leap year; day/night indication Case Crown for winding the watch and setting the time Two pushers for operating the chronograph Rapid-correction pusher for collectively advancing all calendar displays One recessed corrector each for adjusting the day of the week. the month and the moon phases Dial Solid silver with subsidiary dials rhodié Hour and minute hands in rhodiumed gold. luminous; day. month and four-year hands in rhodiumed gold; chronograph sweep seconds hand. subsidiary seconds hand and minute counter hand in blued steel Hand-stitched alligator leather strap Lange prong buckle in white gold,,b5db035e0bb610b1fea012bed17480e5
192.032,https://www.my-watchsite.com/lange-1/6051-lange-1-moon-phase.html,,A. Lange & Söhne,,Lange 1,Lange 1 Moon Phase,,,,USD,44500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214304/a-lange-soehne-saxonia-automatic-380033.jpg,,Round,Rose Gold,,,38.5 mm,,,10.2 mm,,,Sapphire,,,Silver,,"Alligator, Leather","Red, Brown","Pin Buckle, Buckle",Manual winding,L121.3,72 hours,,47.0,"Luminous, Minutes, Day, Hours, Stop-Second, Date, Seconds","Movement Lange manufacture calibre L121.3 manually wound crafted to the most exacting Lange quality standards deco-rated and assembled by hand Precision-adjusted in five po-sitions Plates and bridges made of untreated German silver Balance cock engraved by hand Movement parts 438 Jewels 47 Screwed gold chatons 8 Lever escapement Oscillator Shock-resistant cam-poised balance Balance spring manu-factured in-house frequency 21,600 semi-oscillations per hour precision beat adjustment system with lateral set-screw and whiplash spring Power reserve 72 hours when fully wound Movement dimensions Diameter: 30.6 Height: 5.7 millimetres Case Pink gold Sapphire crystal (Mohs hardness 9) Dial Solid silver argenté Hands and appliques Pink gold luminous Strap / Buckles Hand-stitched alli-gator leather red brown Pink-gold prong buckle",,fd1055594259d4686fa47a7c2bca405d
136.021,https://www.my-watchsite.com/lange-1/7259-lange-1-time-zone.html,,A. Lange & Söhne,2020.0,Lange 1,Lange 1 Time Zone,,,,USD,57500.0,https://cdn.thewatchpages.com/app/uploads/2021/04/13203238/a-lange-soehne-lange-1-perpetual-calendar-34503-800x1366.jpg,,Round,Gold,,Transparent,41.9 mm,,,10.9 mm,,,Sapphire,,,Champagne,,"Alligator, Leather",Brown,"Pin Buckle, Buckle",Manual winding,L141.1,72 hours,,38.0,"Day, Stop-Second, Date, Power Reserve Indication, Small Seconds, Travel Time, Seconds","Movement Lange manufacture calibre L141.1 Manually wound Crafted to the most exacting Lange quality standards Decorated and assembled by hand Precision-adjusted in five positions Plates and bridges made of untreated German silver Balance and intermediate-wheel cocks engraved by hand Movement parts 448 No. of jewels 38 Screwed gold chatons 3 Lever escapement Oscillation system Shock-resistant screw balance; superior-quality balance spring manufactured in-house, frequency 21,600 semi-oscillations per hour; precision beat-adjustment system with lateral setscrew and whiplash spring Power reserve 72 hours when fully wound Diamètre : 34,1 millimètres ; épaisseur : 6,7 millimètres Functions Home time and second time zone Each with a ring-shaped day/night indicator Subsidiary seconds with stop seconds City ring for adjustment of the second time zone with daylight saving time display Outsize date for home time UP/DOWN power-reserve indicator Case Yellow gold Dial Solid silver champagne Strap / Buckles Hand-stitched alligator leather, medium brown Yellow-gold prong buckle Limited edition 100 watches Special boutique edition",,0404565ab0a432f187940d0bfa139e0a
402.026,https://www.my-watchsite.com/1815/786-1815-chronographe.html,,A. Lange & Söhne,2010.0,1815,1815 Chronographe,,,Chronograph,USD,50000.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214228/a-lange-soehne-odysseus-363179-800x1388.jpg,,Round,White Gold,,Transparent,39.5 mm,,,10.8 mm,,,Sapphire,,,Silver,Arabic numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Manual winding,Lange L951.5, 60 hours,,40.0,"Chronograph, Flyback, Stop-Second, Small Seconds, Seconds",Movement 40 jewels 306 parts 4 screwed gold chatons Precision-adjusted in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand Lever escapement  Shock-resistant glucydur balance with eccentric poising weights  Superior-quality balance spring manufactured in-house Frequency : 18 000 semi-oscillations/hour Power reserve : 60 hours Precision beat adjustment system with lateral setscrew  Whiplash spring Hand-stitched crocodile strap Lange prong buckle in pink gold,,d39d7cffc1063372e789b1464eef0bed
215.029,https://www.my-watchsite.com/saxonia/350-saxonia.html,,A. Lange & Söhne,2007.0,Saxonia,Saxonia,,,,USD,,https://cdn.thewatchpages.com/app/uploads/2020/03/13214310/a-lange-soehne-zeitwerk-date-148038.jpg,,Round,White Gold,,Transparent,37 mm,,,7.3 mm,,,Sapphire,,,,No numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Manual winding,Lange L941.1,46 hours,,21.0,"Small Seconds, Seconds",Movement Precision-adjusted movement in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand 164 movement parts 21 jewels 4 Screwed gold chatonsLever escapement Shock-resistant Glucydur screw balance Nivarox balance spring Frequency : 21 600 semi-oscillations per hour Whiplash precision index adjuster with patented beat adjustment mechanism 46 hours power reserve Prong buckle in solid white gold,,cc2a1f80f63211feebe9e5687351cc05
211.032,https://www.my-watchsite.com/saxonia/1587-saxonia-plate.html,,A. Lange & Söhne,2011.0,Saxonia,Saxonia Plate,,,,USD,22000.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214302/a-lange-soehne-saxonia-moon-phase-384031.jpg,,Round,Rose Gold,,Transparent,40 mm,,,5.9 mm,,,Sapphire,,,Silver,No numerals,"Crocodile, Leather",Brown,"Pin Buckle, Buckle",Manual winding,L093.1,72 hours,,21.0,,Movement 21 jewels 167 parts 3 screwed gold chatons Decorated and assembled by hand Precision-adjusted in five positions Plates in untreated German silver Balance cock engraved by hand Lever escapement Shock-resistant glucydur screw balance Superior-quality balance spring manufactured in-house Frequency: 21.600 semi-oscillationper hour Power reserve of 72 hours Dimensions: Diameter: 28 millimetres Height: 2.9 millimetres Case Crown for winding the watch and setting the time Strap Hand-stitched Lange prong buckle in solid pink gold,,58479998630ea0980fcd9f87a63fc095
307.029,https://www.my-watchsite.com/saxonia/336-grande-saxonia-automatique.html,,A. Lange & Söhne,2007.0,Saxonia,Grande Saxonia Automatique,,,,USD,,https://cdn.thewatchpages.com/app/uploads/2020/07/13212541/a-lange-soehne-lange-1-zeitzone-136021-800x1349.jpg,,Round,White Gold,,Transparent,40.6 mm,,,8.2 mm,,,Sapphire,,,,No numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Automatic,Lange L921.2 SAX-0-MAT,46 hours,,36.0,"Small Seconds, Seconds",Movement Precision-adjusted movement in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand 307 movement parts 36 jewels Lever escapement Shock-resistant Glucydur screw balance Nivarox balance spring Frequency : 21 600 semi-oscillations per hour Whiplash precision index adjuster with patented beat adjustment mechanism Rotor with bidirectional winding Patented ZERO-RESET mechanism for Stop seconds function 46 hours power reserve Prong buckle in white gold,,8b971b30cb3774042d66b120e0b1a7e2
145.029,https://www.my-watchsite.com/lange-zeitwerk/1584-lange-zeitwerk-acoustique.html,,A. Lange & Söhne,2011.0,Lange Zeitwerk,Lange Zeitwerk Acoustique,,,,USD,118500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214259/a-lange-soehne-1815-chronograph-414031.jpg,,Round,White Gold,,Transparent,44.2 mm,,,13.8 mm,,,Sapphire,,,Black,Arabic numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Manual winding,L043.2,36 hours,,78.0,"Minutes, Hours, Stop-Second, Jumping Hours, Power Reserve Indication, Chiming Clock, Small Seconds, Seconds",Movement Lange manufacture calibre L043.2 Precision-adjusted in five positions Three-quarter plate made of untreated German silver Balance cock engraved by hand Constant-force escapement Diameter: 36.0mm Height: 10.0mm 528 parts 78 jewels 3 screwed gold chatons Shock-resistant glucydur balance with eccentric poising weights Superior-quality balance spring manufactured in-house with patent-pending attachment system (balance spring clamp) Frequency: 18.000 semi-oscillations per hour Precision beat adjustment system with lateral setscrew and whiplash spring Power reserve: 36 hours when fully wound Case Crown for winding the watch and setting the time Push piece for enabling and disabling the acoustic signal Dial Time bridge German silver. rhodiumed Hand-stitched crocodile strap Heavy Lange prong buckle in white gold,,e1922439b3718e52c760af4017866f9d
380.032,https://www.my-watchsite.com/saxonia/1896-saxonia-automatique.html,,A. Lange & Söhne,2011.0,Saxonia,Saxonia Automatique,,,,USD,22500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214253/a-lange-soehne-richard-lange-tourbillon-pour-le-merite-760032f-800x1320.jpg,,Round,Rose Gold,,Transparent,38.50 mm,,,7.80 mm,,,Sapphire,,,Silver,No numerals,"Crocodile, Leather",Brown,"Pin Buckle, Buckle",Automatic,L086.1,72 hours,,31.0,"Stop-Second, Small Seconds, Seconds",Movement Lange manufacture calibre L086.1. self-winding. crafted to the most exacting Lange quality standards Largely decorated and assembled by hand Precision-adjusted in five positions Plates in untreated German silver Balance cock engraved by hand Lever escapement Diameter: 30.4mm Height: 3.7mm 31 jewels 209 components Shock-resistant glucydur screw balance Superior-quality balance spring manufactured in-house Precision beat adjustment system with lateral setscrew and whiplash spring Frequency: 21.600 semi-oscillations per hour Power reserve: 72 hours when fully wound Hand-stitched crocodile strap Heavy Lange prong buckle in pink gold,,87c469514d9ad2b20458617f62ead59e
211.026,https://www.my-watchsite.com/saxonia/3145-saxonia-plate.html,,A. Lange & Söhne,2012.0,Saxonia,Saxonia Plate,,,,USD,23000.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214257/a-lange-soehne-1815-updown-234026.jpg,,Round,White Gold,,Transparent,40 mm,,,5.9 mm,,,Sapphire,,,Silver,No numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Manual winding,L093.1,72 hours,,21.0,,Movement 21 jewels 167 parts 3 screwed gold chatons Decorated and assembled by hand Precision-adjusted in five positions Plates in untreated German silver Balance cock engraved by hand Lever escapement Shock-resistant glucydur screw balance Balance spring manufactured in-house Frequency: 21.600 semi-oscillationper hour Power reserve : 72 hours Dimensions: Diameter: 28 millimetres Height: 2.9 millimetres Case Crown for winding the watch and setting the time Strap Hand-stitched Lange prong buckle in white gold,,fbf0049ff071a6f0e5c62bcb07cdfa70
307.026,https://www.my-watchsite.com/saxonia/354-grande-saxonia-automatique.html,,A. Lange & Söhne,2007.0,Saxonia,Grande Saxonia Automatique,,,,USD,,https://cdn.thewatchpages.com/app/uploads/2020/03/13214306/a-lange-soehne-saxonia-219032.jpg,,Round,White Gold,,Transparent,40.6 mm,,,8.2 mm,,,Sapphire,,,Silver,No numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Automatic,Lange L921.2 SAX-0-MAT,46 hours,,36.0,"Small Seconds, Seconds",Movement Precision-adjusted movement in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand 307 movement parts 36 jewels Lever escapement Shock-resistant Glucydur screw balance Nivarox balance spring Frequency : 21 600 semi-oscillations per hour Whiplash precision index adjuster with patented beat adjustment mechanism Rotor with bidirectional winding Patented ZERO-RESET mechanism for Stop seconds function 46 hours power reserve Prong buckle in white gold,,9445532520e9aa2dd402ea22237b78e4
315.032,https://www.my-watchsite.com/saxonia/353-saxonia-automatique.html,,A. Lange & Söhne,2007.0,Saxonia,Saxonia Automatique,,,,USD,24500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214305/a-lange-soehne-saxonia-annual-calendar-330026-e.jpg,,Round,Rose Gold,,Transparent,37 mm,,,9.7 mm,,,Sapphire,,,Silver,No numerals,"Crocodile, Leather",Brown,"Pin Buckle, Buckle",Automatic,Lange L921.4 SAX-0-MAT,,,,"Date, Small Seconds, Seconds",Mouvement Réglage de précision du mouvement en cinq positions Platines et ponts en maillechort Coq de balancier gravé à la main 378 composant 45 rubis Echappement à ancre  Balancier à vis antichoc en glucydur Spiral Nivarox  Fréquence :  21 600 alternances / heure Raquetterie de précision à col de cygne avec système de mise au repère breveté Rotor à remontage bidirectionnel Arrêt secondes par mécanisme ZERO-RESET breveté Réserve de marche de 46 heures Boucle ardillon en or rose massif,,3ce92b3dfb36245ea9c12923aba2e267
211.027,https://www.my-watchsite.com/saxonia/5859-saxonia-thin.html,,A. Lange & Söhne,2016.0,Saxonia,Saxonia Thin,,,,USD,23000.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214256/a-lange-soehne-richard-lange-232032.jpg,,Round,White Gold,,Transparent,40 mm,,,5.9 mm,,,Sapphire,,,Silver,No numerals,"Alligator, Leather",Black,"Pin Buckle, Buckle",Manual winding,L093.1,,,,,"Movement Lange manufacture calibre L093.1; manually wound, crafted to the most exacting Lange quality standards, decorated and assembled by hand Precision-adjusted in five positions Made of untreated German silver Balance cock engraved by hand Movement parts : 167 Jewels : 21 Screwed gold chatons : 3 Lever escapement Shock-resistant screw balance; balance spring manufactured inhouse with a frequency of 21,600 semi-oscillations per hour, precision beat-adjustment system with lateral set screw and whiplash spring Movement dimensions Diameter: 28.0 millimetres; height: 2.9 millimetres Case White gold Crown for winding the watch and setting the time Crystal and back Sapphire crystal (Mohs hardness 9) Dial Solid silver, argenté Strap/Buckle Hand-stitched alligator leather strap, black White-gold prong buckle",,6484dcfb08a5406f43e5d63bc7981c08
215.033,https://www.my-watchsite.com/saxonia/352-saxonia.html,,A. Lange & Söhne,2007.0,Saxonia,Saxonia,,,,USD,,https://cdn.thewatchpages.com/app/uploads/2020/03/13214259/a-lange-soehne-1815-chronograph-414032.jpg,,Round,Rose Gold,,Transparent,37 mm,,,7.3 mm,,,Sapphire,,,Gray,No numerals,"Crocodile, Leather",Black,"Pin Buckle, Buckle",Manual winding,Lange L941.1,46 hours,,21.0,"Small Seconds, Seconds",Movement Precision-adjusted movement in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand 164 movement parts 21 jewels 4 Screwed gold chatonsLever escapement Shock-resistant Glucydur screw balance Nivarox balance spring Frequency : 21 600 semi-oscillations per hour Whiplash precision index adjuster with patented beat adjustment mechanism 46 hours power reserve Prong buckle in solid pink gold,,b7f75532b6cb7271b2cf8cf0f6ae8bac
117.021,https://www.my-watchsite.com/lange-1/3140-grande-lange-1.html,,A. Lange & Söhne,2012.0,Lange 1,Grande Lange 1,,,,USD,40500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214254/a-lange-soehne-richard-lange-perpetual-calendar-terraluna-180026fe.jpg,,Round,Gold,,Transparent,40.9 mm,,,8.8 mm,,,Sapphire,,,Champagne,Roman numerals,"Crocodile, Leather",Brown,"Pin Buckle, Buckle",Manual winding,Calibre L095.1,72 hours,,,"Stop-Second, Date, Power Reserve Indication, Small Seconds, Seconds",Movement Precision-adjusted in five positions Plates and bridges made of untreated German silver Parts : 397   Jewels 42  Lever escapement   Shock-resistant screw balance Balance spring manufactured in-house. Frequency : 21.600 semi-oscillations per  hour Precision beat adjustment system with lateral setscrew and whiplash spring   Power reserve : 72 hours   Strap : hand-stitched crocodile brown Lange prong buckle in yellow gold,,532ce226e812b45b64efe984d0709c3b
260.032,https://www.my-watchsite.com/richard-lange/240-richard-lange-pour-le-merite.html,,A. Lange & Söhne,2009.0,Richard Lange,Richard Lange 'Pour le Mérite',,,,USD,100000.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214302/a-lange-soehne-saxonia-outsize-date-381029-800x1388.jpg,,Round,Rose Gold,,Transparent,40.5 mm,,,10.7 mm,,,Sapphire,,,White,"Arabic numerals, Roman numerals","Crocodile, Leather",Brown,"Pin Buckle, Buckle",Manual winding,Lange L044.1,36 hours,,33.0,"Small Seconds, Seconds",Movement Precision-adjusted movement in five positions Fusée-and-chain transmission. decorated and assembled by hand Three-quarter plate made of untreated German silver Balance as well as escape-wheel and fourth-wheel cocks engraved by hand 279 movement parts (+ 636 parts for the chain) 33 jewels 2 screwed gold chatons Lever escapement Shock-resistant Glucydur screw balance Balance spring made in-house Whiplash spring Frequency : 21 600 semi-oscillations per hour Smal seconds with stop seconds Power reserve 36 hours Prong buckle in solid pink gold,,5811338413c792c054b2371f23aa1e0a
421.025,https://www.my-watchsite.com/1815/4620-1815-rattrapante-perpetual-calendar.html,,A. Lange & Söhne,2013.0,1815,1815 Rattrapante Perpetual Calendar,,,Chronograph,USD,247500.0,https://cdn.thewatchpages.com/app/uploads/2020/03/13214307/a-lange-soehne-lange-31-130039f.jpg,,Round,Platinum,,Transparent,41.9 mm,,,14.7 mm,,,Sapphire,,,,Arabic numerals,"Crocodile, Leather",Black,Folding Clasp,Manual winding,L101.1,42 hours,,43.0,"Perpetual Calendar, Minutes, Chronograph, Hours, Stop-Second, Calendar, Power Reserve Indication, Moon Phases, Small Seconds, Seconds",Movement Lange manufacture calibre. manually wound. crafted to the most exacting Lange quality standards Precision-adjusted in five positions Plates and bridges made of untreated German silver Balance cock engraved by hand Movement parts 636 Jewels 43 Screwed gold chatons 4 Escapement Lever escapement Oscillator Shock-resistant screw balance. superior-quality balance spring manufactured in-house. frequency 21.600 semi-oscillations per hour. precision beat adjustment system with lateral setscrew and whiplash spring Power reserve 42 hours when fully wound   Operating elements Crown for winding the watch and setting the time Two chronograph push pieces. one push piece to operate the rattrapante mechanism Separate correction push pieces for adjusting the date. day. month. and moon phase Movement dimensions Diameter: 32.6 millimetres Height: 9.1 millimetres,,792851f8b1bdc855a66ece036eb8c36f
